H3K4me1,H3K4me2,H3K4me3,H3K9ac,H3K27ac,H3K36me3,H3K79me2,H4K20me1,H3K9me3,H3K27me3,H2AFZ,CTCF,POLR2AphosphoS2,POLR2AphosphoS5,EZH2,STAT1,ZNF687,RUNX3,CEBPZ,ZNF217,TCF12,ZNF592,USF1,HCFC1,MXI1,HSF1,ZEB1,MYB,EP300,KLF5,CEBPB,TAF1,RAD21,ZNF384,CUX1,ELF1,RB1,ZBTB33,TBP,NFYB,LARP7,WRNIP1,JUNB,EBF1,BHLHE40,STAT3,SIN3A,MEF2C,NKRF,PBX3,MTA3,ESRRA,NR2F1,ZSCAN29,NR2C1,NFXL1,IKZF1,IRF3,TBL1XR1,PAX5,HDAC2,KDM1A,YY1,CHD4,RXRA,DPF2,SMAD1,MAZ,NR2C2,SIX5,CHD1,ZFP36,GATAD2B,BCL3,SRF,RBBP5,BCLAF1,BRCA1,ZNF24,SMARCA5,ZNF207,NFATC1,REST,UBTF,RELB,ZNF622,SMC3,NFIC,CBX5,FOXK2,CBFB,CBX3,HDAC6,MEF2B,PAX8,MTA2,ATF7,TBX21,E2F8,ETS1,IRF5,ELK1,NBN,IRF4,MAX,RFX5,CHD2,BATF,STAT5A,JUND,BCL11A,ARID3A,ZNF143,BACH1,NRF1,SMAD5,TARDBP,SPI1,RCOR1,TRIM22,NFATC3,RAD51,GABPA,BMI1,PKNOX1,YBX1,ASH2L,EED,SKIL,E2F4,ZBTB40,SUZ12,ATF2,MAFK,NFYA,ETV6,EGR1,USF2,E4F1,MLLT1,IKZF2,TCF7,CREM,ZBED1,POLR2A,ARNT,HDGF,MEF2A,ZZZ3,DNase,RepG1,RepG2,RepS1,RepS2,RepS3,RepS4,RNAseq_total
-0.06098719,-0.05491415,-0.04535115,-0.03585057,-0.03992046,-0.06568129,-0.04501614,0.02319094,0.01855503,0.08419204,-0.05647392,0.0,-0.05700294,-0.0544869,-0.04287528,-0.17230306,-0.18792179,-0.05084887,-0.15838792,-0.18624385,-0.19353811,-0.20263429,0.0,-0.05267139,-0.0784899,-0.1636791,-0.03432141,-0.14593841,-0.04805783,-0.15897524,-0.12346833,-0.04350335,0.0,-0.0757894,-0.10511082,-0.17661099,-0.16409273,-0.19221592,-0.06366126,-0.02062507,-0.15694549,-0.03624115,-0.06602922,-0.01645836,-0.06722156,-0.10950512,-0.07794617,-0.06808727,-0.1685075,-0.02931651,-0.07970452,-0.12176654,-0.13890256,-0.18571543,-0.12130511,-0.19450985,-0.11175725,-0.18395078,-0.09185373,-0.02902927,-0.16483475,-0.15909402,-0.03473753,-0.17827668,-0.10288078,-0.1353054,-0.18400881,-0.06029528,0.0,-0.0461659,-0.06375325,-0.13127361,-0.14710524,-0.02194482,-0.05017232,-0.15907489,-0.20350675,-0.03939713,-0.14162933,-0.16675702,-0.18664913,-0.08700469,0.0,-0.1510171,-0.14126674,-0.20995256,-0.01842732,-0.06882591,-0.10926558,-0.06395395,-0.10555647,-0.13876532,-0.12299952,-0.13604318,-0.22046417,-0.13661352,-0.09725334,-0.10520553,-0.20040322,-0.09402362,-0.14241133,-0.08788978,-0.13839431,-0.05757757,-0.06856382,-0.03799338,-0.0375659,-0.04258003,-0.07548224,-0.05343233,-0.04853607,-0.17997102,-0.05797662,-0.17789681,-0.06587274,-0.12746348,-0.17127349,-0.02479616,-0.10206994,-0.15560387,-0.19434902,-0.19599465,-0.11332205,-0.17374486,-0.04877272,-0.20428017,-0.14696372,-0.05584261,-0.16857834,-0.07404145,-0.13790211,-0.05744532,-0.11124439,-0.02002593,-0.10344755,-0.0744187,-0.02173557,-0.04132228,-0.09055912,-0.10659753,-0.15228444,-0.11338493,-0.08121647,-0.14939544,-0.04732975,-0.18993246,-0.16883449,-0.04460155,-0.08461229,0.0,-0.12010941,-0.0574942,-0.11305321,0.04353743,0.13082732,0.01822117,0.0
-0.06105833,-0.05123931,-0.05289348,-0.03858217,-0.04282801,-0.03845722,-0.05838212,0.12463892,0.0,0.18969326,-0.04891461,0.01962991,-0.05033336,-0.05404207,0.0,-0.19096994,-0.19561683,-0.04442573,-0.1792503,-0.21087952,-0.22880766,-0.24124701,0.1004228,-0.04198747,-0.07016743,-0.24411491,0.0,-0.17876425,-0.05666726,-0.17453398,-0.15137328,-0.04306236,0.0,-0.05356795,-0.14287107,-0.17625485,-0.16340624,-0.22799196,-0.07240424,-0.01639045,-0.10353435,0.0,-0.07511304,0.0,-0.0437162,-0.14124989,-0.06229684,-0.07845377,-0.17943928,0.0,-0.05921049,-0.12145482,-0.107675,-0.19873437,-0.13121652,-0.21523712,-0.09050221,-0.19779751,-0.09927336,-0.01909782,-0.22539237,-0.26175847,-0.03275775,-0.25951958,-0.11892024,-0.10998866,-0.21527545,-0.04910933,0.12946464,-0.04211971,-0.05532933,-0.11281798,-0.11888873,0.0,0.0,-0.26782298,-0.23184193,0.0,-0.19104222,-0.1537452,-0.20245896,-0.08046506,0.0,-0.20770186,-0.143563,-0.24138838,0.0,-0.08007616,-0.08776646,0.03291387,-0.0941918,-0.24922241,-0.12781394,-0.15380844,-0.26027351,-0.14281425,-0.09309796,-0.11434865,-0.21620571,-0.11213154,-0.17614895,-0.06472948,-0.12955188,-0.04985289,-0.04461207,-0.02061322,-0.03273949,-0.03993786,-0.04540342,-0.02184715,-0.04289025,-0.18568337,-0.04991639,-0.15388104,-0.03963302,-0.09770905,-0.17472516,-0.02274558,-0.09618773,-0.17757933,-0.20978438,-0.21712019,-0.10077461,-0.19199794,-0.02343254,-0.24791768,-0.2179338,-0.02630016,-0.19611341,-0.05425733,-0.12091058,-0.04133658,-0.16776794,-0.02208341,-0.10127338,-0.03982102,0.10619013,-0.02405147,-0.04208898,-0.09516344,-0.14169923,-0.07972332,-0.06541032,-0.13650978,-0.03070494,-0.19676742,-0.14708738,-0.06576342,-0.09716036,-0.03318599,-0.08607972,-0.20292018,0.07068535,0.21391974,0.03179509,-0.19533149,-0.02357999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04487737,0.02227977,0.09461836,0.0,0.04790971,0.0,0.0,0.06927819,0.08632166,0.08125038,0.0,0.034512,0.09141453,0.09947953,0.09308904,0.04704637,0.0,0.0,0.0509281,0.0,0.04251332,0.02179554,0.07127461,0.04374476,0.0,0.07730535,0.04629651,0.03048551,0.07573713,0.09067215,0.08909795,0.0,0.0,0.10297387,0.03187218,0.0,0.02466424,0.05892051,0.03225897,0.0,0.03233077,0.09292359,0.02642225,0.0,0.0456569,0.06686093,0.10617492,0.05406594,0.10995785,0.06435225,0.08623275,0.0213454,0.02531409,0.05227274,0.06149885,0.02407376,0.07190261,0.06302871,0.08094789,0.06385928,0.0,0.04945546,0.0,0.0,0.05318605,0.08731945,0.02505662,0.01896316,0.05292259,0.11155431,0.0,0.08917384,0.08911927,0.07512249,0.02188186,0.02042519,0.04702625,0.04628505,0.12409455,0.07223857,0.0,0.02837492,0.06180571,0.02861877,0.0,0.03332382,0.06495732,0.0959745,0.06523815,0.04881275,0.05172253,0.06400297,0.04907461,0.06923218,0.0,0.04983879,0.03243862,0.0,0.02812812,0.0,0.0,0.02381661,0.0285778,0.02481279,0.09567031,0.01914696,0.07731448,0.0,0.02777584,0.07517741,0.02874773,0.02828449,0.0781387,0.08760274,0.08949957,0.03303482,0.10458801,0.0,0.10224638,0.04652131,0.0,0.0699083,0.0,0.04753809,0.05250301,0.05555482,0.0,0.0,0.0,0.04362789,0.0,0.06096639,0.03060367,0.07008274,0.02351415,0.02000924,0.03499562,0.0,0.09567354,0.06693778,0.0,0.02689973,0.0,0.05045578,-0.13705985,0.19089565,0.22997148,0.02028634,-0.14676488,-0.01673562
-0.09120329,-0.07306638,-0.05159675,-0.03024428,-0.03313601,-0.1122201,-0.03887759,-0.07798571,-0.08281921,-0.06347933,-0.07556166,0.0,-0.08294738,-0.06895653,-0.08820924,-0.17338548,-0.1802871,-0.08631599,-0.09079088,-0.18945023,-0.16341116,-0.16680802,-0.06084171,-0.07590789,-0.07749829,-0.08699022,-0.04408465,-0.0994478,-0.05149893,-0.17448759,-0.08242195,-0.09533405,-0.02201052,-0.02793747,-0.09392048,-0.19010599,-0.178889,-0.17494766,-0.0697742,-0.02000323,-0.18629137,-0.08492187,-0.08183621,-0.04962059,-0.08347417,-0.0997645,-0.07709543,-0.08621482,-0.19499033,-0.09767939,-0.13640777,-0.08450138,-0.1649508,-0.17948157,-0.17407827,-0.17283141,-0.15059092,-0.16403141,-0.09776341,-0.07931921,-0.14679241,-0.11246362,-0.08012857,-0.14323108,-0.13465141,-0.15404496,-0.15914876,-0.07484445,-0.03935296,-0.08254446,-0.08383494,-0.09762887,-0.18688037,-0.06074305,-0.05862838,-0.10406349,-0.19383856,-0.04784304,-0.16813292,-0.19314194,-0.16931031,-0.1291683,-0.02038115,-0.08190433,-0.14186113,-0.18837947,-0.04382034,-0.09525506,-0.12066091,-0.12837153,-0.17032289,-0.05582765,-0.10708019,-0.15646394,-0.19296093,-0.16009712,-0.1198053,-0.11046803,-0.17331869,-0.12983973,-0.13460241,-0.05770396,-0.15759553,-0.11065676,-0.08209059,-0.02717904,-0.09053537,-0.06604649,-0.15112862,-0.06479377,-0.09868529,-0.20487726,-0.10045927,-0.20597791,-0.03367017,-0.15492529,-0.17416001,-0.04758018,-0.09983272,-0.15060019,-0.19402187,-0.17996492,-0.1228876,-0.1870755,-0.06018879,-0.17037831,-0.1334479,-0.1183349,-0.16941674,-0.06820433,-0.13354951,-0.06034357,-0.0962372,0.0,-0.04087543,-0.11000006,-0.05846673,-0.04449936,-0.1453294,-0.10343978,-0.1820156,-0.09820711,-0.11404715,-0.15768309,-0.06326507,-0.18194083,-0.19634674,-0.0867218,-0.0358873,-0.05873952,-0.17200909,0.11847866,-0.17838238,-0.09552889,0.0,0.11674771,-0.03553281
-0.10975201,-0.08003704,-0.05940106,-0.04010303,-0.0409076,-0.13186424,-0.0476154,-0.22216562,-0.06899663,-0.22135228,-0.08668315,-0.03670808,-0.05538137,-0.06487307,-0.15515724,-0.21660513,-0.19335995,-0.10478795,-0.11435847,-0.18636583,-0.19437414,-0.18899005,-0.14940633,-0.0892797,-0.09575701,-0.12299882,-0.05401844,-0.12311127,-0.0555855,-0.21770365,-0.13959446,-0.11188375,-0.05668465,-0.07276085,-0.13897409,-0.18715161,-0.21216339,-0.20623421,-0.06076723,-0.03290203,-0.22361041,-0.15857301,-0.10726052,-0.03562542,-0.10394477,-0.16195625,-0.1199509,-0.16916983,-0.20977505,-0.1376218,-0.18511042,-0.14858847,-0.15555554,-0.19480897,-0.1768401,-0.24019351,-0.1425359,-0.21291117,-0.14508411,-0.10331476,-0.22283747,-0.19459198,-0.10339749,-0.22334349,-0.26394006,-0.15919655,-0.19806707,-0.10217933,-0.16552058,-0.1659441,-0.1527605,-0.14636478,-0.18003589,-0.10314025,-0.1141032,-0.17368905,-0.22613053,-0.11912812,-0.15350264,-0.19308794,-0.19629476,-0.17680254,-0.03546946,-0.14558764,-0.13063999,-0.24723628,-0.09359799,-0.12348804,-0.18263064,-0.22641911,-0.22915549,-0.03830681,-0.18974214,-0.16955239,-0.20829725,-0.12820519,-0.10021403,-0.09728123,-0.18240014,-0.24339205,-0.16832323,-0.14798998,-0.13875975,-0.1491546,-0.12319646,-0.06436432,-0.06663202,-0.07607915,-0.19587289,-0.13459827,-0.10626863,-0.24366644,-0.10390092,-0.22548616,-0.06176603,-0.25853085,-0.16712435,-0.06310272,-0.14961523,-0.15366198,-0.19764018,-0.17354703,-0.20020808,-0.19615435,-0.04387179,-0.18999465,-0.20780119,-0.15238961,-0.19095103,-0.11465927,-0.15962067,0.11850499,-0.12168828,-0.02569016,-0.10104255,-0.18312615,-0.17907141,-0.10346827,-0.22445431,-0.08386674,-0.18797308,-0.16030502,-0.16867474,-0.25309308,-0.06659726,-0.1955428,-0.19684891,-0.11090361,-0.12120767,0.0,-0.1856733,0.36666726,-0.24752777,-0.27229415,-0.22543947,0.09063187,0.0
0.23017635,0.22709041,0.18708099,0.15270828,0.14994196,0.23550779,0.20251325,0.16576331,0.07379952,-0.1192777,0.15709972,0.05153127,0.14148559,0.17633549,0.05759103,0.32834127,0.28456959,0.21223327,0.1049388,0.29761858,0.2698628,0.23382483,0.13149208,0.11670684,0.15331093,0.11661148,0.11768486,0.1722341,0.10661086,0.31670981,0.12884113,0.14561592,0.06457376,0.09825052,0.1460626,0.25322098,0.31553169,0.3048603,0.1411155,0.05634579,0.35113936,0.25991268,0.15132459,0.090838,0.15963174,0.21232186,0.14886633,0.14596388,0.30331218,0.10852566,0.27605319,0.20122465,0.25534517,0.30165782,0.15079458,0.31269614,0.26675244,0.31025926,0.19829073,0.16104242,0.29176556,0.19154731,0.1614006,0.23809052,0.2732559,0.28722851,0.23953692,0.15705499,0.07207533,0.08902522,0.16532619,0.14482324,0.31229035,0.12509684,0.14292712,0.17805494,0.32921044,0.07961563,0.24550359,0.35210345,0.32953945,0.2701773,0.05113384,0.1434436,0.25341242,0.31262119,0.09905456,0.20734669,0.29433162,0.26843575,0.28043893,0.08691146,0.237101,0.2373919,0.31571704,0.25500686,0.17739156,0.19726623,0.30620293,0.20917721,0.1925381,0.14246245,0.27668631,0.21365239,0.16753635,0.07414324,0.12260502,0.13388943,0.28626211,0.13085968,0.16561547,0.32894912,0.11253296,0.34428016,0.08622047,0.29849913,0.29500034,0.10093628,0.21558698,0.26917196,0.32821825,0.25482016,0.2477466,0.28593326,0.05924865,0.30021231,0.25084897,0.24750386,0.28765775,0.08381385,0.18233692,0.03277936,0.16305594,0.05467643,0.0,0.24135893,0.19788781,0.11030224,0.21744143,0.15847023,0.30562115,0.26727654,0.22767922,0.29343677,0.19376701,0.30464266,0.37606577,0.1440113,-0.04705725,0.17485715,0.38109394,-0.22868079,0.31738842,0.01876436,-0.25464154,-0.34497188,0.06658086
0.05314111,0.09185114,0.08460519,0.09168648,0.05938034,0.13737501,0.06894579,0.05764473,-0.05339091,-0.12364301,0.0865828,0.01948066,0.09248154,0.09700641,-0.03419402,0.13834454,0.11115753,0.08764806,0.03169736,0.10176466,0.10975989,0.08012948,0.04804063,0.07934409,0.08260007,0.04509326,0.06869585,0.0622361,0.0,0.13070075,0.0,0.08238926,0.0228252,0.04111651,0.0346877,0.10470071,0.13209962,0.12759693,0.07198036,0.03953725,0.16434527,0.09567657,0.01772578,0.0,0.0706448,0.05009554,0.08209323,0.0434486,0.1430349,0.03718874,0.13872806,0.09669877,0.1173388,0.1365068,0.06496514,0.16596425,0.10959697,0.12776331,0.06811983,0.07683601,0.10262695,0.05705332,0.09002835,0.07784037,0.116126,0.11022896,0.11212447,0.06610458,0.0,0.06006307,0.07224606,0.04411227,0.13587431,0.05251549,0.04965571,0.057729,0.15811697,0.04068428,0.09934949,0.14333552,0.14080711,0.1178487,0.0,0.04614514,0.09736302,0.15061366,0.04387535,0.06701594,0.08454152,0.17556148,0.12215101,-0.02967767,0.08863215,0.0776902,0.13000668,0.09977544,0.07455049,0.07550717,0.13414206,0.09727996,0.09161787,0.06074091,0.12529165,0.06341117,0.0890156,0.05940619,0.05565753,0.0,0.14299587,0.06378726,0.04648355,0.1361438,0.06229234,0.17151993,0.05767752,0.16698237,0.1281102,0.0273576,0.08156216,0.10003094,0.14518202,0.09482247,0.09676228,0.1367889,0.02104752,0.11782175,0.08129391,0.08664423,0.09794423,0.04093345,0.08775235,0.0,0.0756512,0.02563043,0.0220901,0.0680317,0.08104772,0.04472391,0.14645702,0.08907029,0.12110995,0.09813984,0.08450934,0.13287825,0.12132377,0.11254549,0.19366752,0.0443764,-0.02586044,0.11923822,0.27243625,-0.06505003,0.15466314,-0.19291482,-0.27514716,-0.19497642,0.04842028
-0.06434805,-0.0369382,-0.03753995,-0.02543757,-0.03329923,-0.08747193,-0.041487,-0.03198394,-0.08871965,0.0,-0.0338413,0.01921844,-0.07219335,-0.05684388,0.02228302,-0.03669254,0.0,-0.05407812,0.0,0.0,0.03153376,0.04842782,-0.11111653,-0.03387574,-0.04044835,0.02700881,-0.03512424,-0.01942721,-0.03550846,-0.04136191,-0.02664723,-0.05891767,0.0,0.0,0.0,0.0,-0.01844577,0.0,-0.02992455,0.0,-0.05395977,-0.12674338,-0.03150684,-0.0168601,0.0,-0.05596869,-0.04465363,-0.01964657,0.0,-0.06483753,-0.10521754,-0.03596838,0.0,0.0,0.0228575,0.04705963,-0.04347342,-0.02449342,-0.04976273,-0.07103934,-0.03826101,0.0,-0.03547329,0.01760745,-0.04196544,-0.03621986,0.0,-0.04327756,-0.11955973,-0.01875007,-0.06886047,0.0,-0.03498147,-0.04654523,-0.04407596,0.0220499,0.02502112,-0.09744201,0.0,-0.0446321,-0.04561907,-0.08047203,-0.0175951,0.0,-0.02036258,0.03622288,0.0,-0.04540961,-0.11476557,-0.08781989,-0.08535615,-0.08676493,-0.05240354,0.0,0.0172462,-0.01784904,-0.01787867,-0.02498302,0.0,0.0,0.0,-0.04491306,-0.04953606,-0.07278192,-0.07036796,-0.06062151,-0.04723518,-0.03135869,-0.09880534,-0.0681303,-0.06218201,0.0,-0.02600563,-0.03529295,-0.04714346,-0.11998439,-0.03711964,-0.03145506,-0.05150383,0.0,0.0,0.0,-0.05575744,0.0,0.0,0.0,-0.02912151,-0.10335848,0.0,-0.02831016,0.0,0.0,0.03306399,0.0,0.02690264,-0.10347015,-0.1346762,-0.06728185,-0.07142516,-0.05097103,-0.02964884,-0.07762656,-0.07355732,-0.07914206,-0.05963177,0.0,-0.08200246,-0.032427,-0.01686696,-0.02611088,-0.12397246,-0.07764799,-0.13284471,-0.0723833,0.10375525,0.23231556,-0.02224919
-0.06887953,-0.0540546,-0.04872655,-0.03645059,-0.03897257,-0.04579052,-0.05093003,0.12378218,0.0,0.1035467,-0.06045053,0.0180679,-0.04692718,-0.06081805,0.0,-0.15672706,-0.18237425,-0.04989942,-0.11763828,-0.17713139,-0.18260248,-0.18711132,0.06995843,-0.03714019,-0.04725526,-0.11327647,-0.01785998,-0.09528442,-0.02468319,-0.15203897,-0.0535523,-0.0435465,0.0,-0.02892953,-0.05368808,-0.1728874,-0.15351992,-0.18491485,-0.04897271,0.0,-0.13584286,0.0,-0.06575328,0.0,-0.06229073,-0.0779946,-0.02512276,-0.05746429,-0.1685834,-0.01666248,-0.08244637,-0.04610851,-0.12124086,-0.16739206,-0.1103559,-0.206099,-0.10189055,-0.15255052,-0.04466758,-0.03118315,-0.15190448,-0.1310678,-0.04687176,-0.16227216,-0.09245009,-0.13038408,-0.17265935,-0.03856678,0.05311468,-0.04458739,-0.03429983,-0.08672724,-0.14248723,0.0,-0.02650714,-0.1425863,-0.19135316,0.05144189,-0.13633068,-0.16460833,-0.15705561,-0.08049082,-0.02121682,-0.08978678,-0.1271815,-0.19758684,0.0,-0.08033988,-0.13299162,0.0,-0.09329885,-0.14856997,-0.10159854,-0.14463227,-0.1970958,-0.11922758,-0.10207241,-0.07927674,-0.18269604,-0.08403066,-0.10303218,0.0,-0.12073226,-0.04484352,-0.02019941,0.0,-0.03171944,-0.03355123,-0.06777084,0.0,-0.03134358,-0.18916764,-0.05160907,-0.17297164,-0.02074617,-0.1225722,-0.15081984,-0.02357963,-0.05524631,-0.1407104,-0.17613804,-0.17512102,-0.12724525,-0.14694279,-0.06162564,-0.18181926,-0.13145298,-0.0500604,-0.17322898,-0.01601568,-0.13995296,-0.02333165,-0.12077213,0.0,-0.05400128,-0.05813167,0.05733372,0.0,-0.02558163,-0.09311254,-0.14595488,-0.07499682,-0.06762103,-0.1399556,-0.04290892,-0.16410444,-0.16116845,-0.06186548,-0.01748014,-0.02520345,-0.18713503,-0.05100146,-0.22660101,-0.15516903,0.15597293,0.19941276,0.0
-0.02268293,-0.0264217,-0.02850194,-0.02178125,-0.0207377,-0.04326232,-0.02221549,-0.068742,0.0,0.0,-0.03571835,0.0,-0.03066737,-0.02503543,-0.07721021,-0.14468099,-0.12579292,-0.0168692,-0.14765857,-0.11054267,-0.14086096,-0.17100298,-0.04742765,-0.04629174,-0.04941745,-0.21619435,-0.02593593,-0.1629663,-0.05970523,-0.13287809,-0.19050426,-0.04327071,0.0,-0.0494372,-0.13763204,-0.10213568,-0.10474517,-0.14776929,-0.05030723,0.0,-0.09194253,-0.07831062,-0.05418538,-0.01813766,-0.01979418,-0.14432459,-0.07981722,-0.08885541,-0.10907736,-0.03494888,-0.04595197,-0.16575223,-0.06324348,-0.13219619,-0.11127633,-0.16456281,-0.04575306,-0.16156686,-0.0910965,-0.02754413,-0.18370604,-0.21846323,-0.02647425,-0.21444389,-0.13737218,-0.05862728,-0.14432393,-0.0514001,-0.08904995,-0.04112461,-0.11538886,-0.12324539,-0.06415375,-0.03015381,-0.06285271,-0.21726978,-0.16673037,-0.10056485,-0.10573473,-0.08793156,-0.14175545,-0.0520242,0.0,-0.20749206,-0.06158319,-0.18311984,-0.03775327,-0.03486349,-0.07197702,-0.15710738,-0.08466422,-0.21363532,-0.15295986,-0.07103773,-0.14633362,-0.07151965,-0.04981791,-0.04380578,-0.10615879,-0.12339828,-0.19455248,-0.14829466,-0.06725952,-0.05224828,-0.06138136,-0.12423349,-0.03122224,0.0,-0.04844432,-0.12635324,-0.04434269,-0.10024919,-0.03081338,-0.07817044,-0.06030597,-0.09361498,-0.09208478,-0.02485994,-0.11153695,-0.09070716,-0.1082555,-0.113744,-0.09513239,-0.10315395,0.0,-0.1629138,-0.18328276,-0.04602094,-0.09579409,-0.0605232,-0.07410187,-0.09104136,-0.13382904,-0.04790671,-0.1486928,-0.07763386,-0.07694232,-0.04167181,-0.14487046,-0.04672621,-0.07591905,-0.11393159,-0.05744534,-0.10162663,-0.02783334,-0.11368639,-0.07808353,-0.04463392,-0.16506656,0.0,0.0,-0.11659308,0.08182375,0.16922446,0.03730239,-0.11580076,0.0
