Binding_domain	Class_number	Description
chr2_domain_1	5	K27_Repressed_1
chr2_domain_2	6	K27_Repressed_2
chr2_domain_3	5	K27_Repressed_1
chr2_domain_4	8	Repressed
chr2_domain_5	8	Repressed
chr2_domain_6	1	Active_3
chr2_domain_7	2	Active_1
chr2_domain_8	9	Low_signal
chr2_domain_9	5	K27_Repressed_1
chr2_domain_10	9	Low_signal
chr2_domain_11	9	Low_signal
chr2_domain_12	3	Active_2
chr2_domain_13	5	K27_Repressed_1
chr2_domain_14	9	Low_signal
chr2_domain_15	6	K27_Repressed_2
chr2_domain_16	3	Active_2
chr2_domain_17	3	Active_2
chr2_domain_18	5	K27_Repressed_1
chr2_domain_19	3	Active_2
chr2_domain_20	3	Active_2
chr2_domain_21	6	K27_Repressed_2
chr2_domain_22	2	Active_1
chr2_domain_23	8	Repressed
chr2_domain_24	1	Active_3
chr2_domain_25	1	Active_3
chr2_domain_26	7	Heterochromatin
chr2_domain_27	9	Low_signal
chr2_domain_28	4	Bivalent
chr2_domain_29	1	Active_3
chr2_domain_30	9	Low_signal
chr4_domain_1	7	Heterochromatin
chr4_domain_2	9	Low_signal
chr4_domain_3	1	Active_3
chr4_domain_4	3	Active_2
chr4_domain_5	1	Active_3
chr4_domain_6	4	Bivalent
chr4_domain_7	6	K27_Repressed_2
chr4_domain_8	1	Active_3
chr4_domain_9	3	Active_2
chr4_domain_10	9	Low_signal
chr4_domain_11	4	Bivalent
chr4_domain_12	1	Active_3
chr4_domain_13	3	Active_2
chr4_domain_14	3	Active_2
chr4_domain_15	9	Low_signal
chr4_domain_16	1	Active_3
chr4_domain_17	9	Low_signal
chr4_domain_18	7	Heterochromatin
chr4_domain_19	6	K27_Repressed_2
chr4_domain_20	9	Low_signal
chr4_domain_21	4	Bivalent
chr4_domain_22	7	Heterochromatin
chr4_domain_23	6	K27_Repressed_2
chr4_domain_24	9	Low_signal
chr4_domain_25	5	K27_Repressed_1
chr4_domain_26	1	Active_3
chr4_domain_27	3	Active_2
chr4_domain_28	1	Active_3
chr4_domain_29	1	Active_3
chr4_domain_30	7	Heterochromatin
chr6_domain_1	5	K27_Repressed_1
chr6_domain_2	4	Bivalent
chr6_domain_3	6	K27_Repressed_2
chr6_domain_4	5	K27_Repressed_1
chr6_domain_5	8	Repressed
chr6_domain_6	8	Repressed
chr6_domain_7	4	Bivalent
chr6_domain_8	6	K27_Repressed_2
chr6_domain_9	9	Low_signal
chr6_domain_10	3	Active_2
chr6_domain_11	1	Active_3
chr6_domain_12	1	Active_3
chr6_domain_13	9	Low_signal
chr6_domain_14	5	K27_Repressed_1
